0,1,2,3,4,5,6,7,8
Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128
Fecha,Hora Local,Magnitud,Profundidad (km),Localización,Origen,Reportado,Latitud,Longitud
2026-08-25,18:29:47,3.1,13,7 km al norte de San Isidro de El General,Fallamiento local,"Rivas, Barú, Matasanos, La Palma, La Ese, San Isidro",9.4299,-83.7023
2026-08-25,18:30:33,3,13,7 km al norte de San Isidro de El General,Fallamiento local,"Rivas, Barú, Matasanos, La Palma, La Ese, San Isidro",9.4393,-83.7018
2026-08-24,01:37:16,5,11,8 km al noreste de San Isidro de Coronado,Tectónico por fallamiento local,"Valle Central, Guápiles, Pérez Zeledón, Esparza",10.0167,-83.9475
2026-08-24,01:39:39,4.5,11,9 km al noreste de San Isidro de Coronado,Tectónico en falla local,Valle Central,10.0286,-83.9531
2026-08-15,23:35:49,3.6,26,9 km al sureste de Parrita,Tectónico por subducción,"Quepos, Atenas y Valle Central",9.4408,-84.2952
2026-08-14,22:47:07,4,27,10 km al sur de Laurel,Tectónico,"Naranjo, Laurel y Paso Canoas",8.3461,-82.9086
2026-08-10,14:54:55,5.2,25,200 km al suroeste de Jacó.,"Tectónico por deformación interna de la placa del Coco, antes de subducirse.","Península de Nicoya, Puntarenas y Esparza.",8.2411,-85.8116
2026-08-08,21:54:47,3.5,40,6 km al noroeste de Quepos.,Tectónico por subducción.,"Quepos, San Ignacio de Acosta y Alajuelita.",9.4768,-84.1955
2026-08-05,03:07:36,3.1,9,5 km al este de Villa Mills (Cerro de la Muerte),Tectónico en falla local,Alto Jaular y Buenavista de Rivas Pérez Zeledón.,9.5539,-83.6561
2026-08-05,04:15:03,3.4,63,2 km al norte de Acosta,Tectónico por deformación interna de la placa del Coco,"Acosta, Ojochal, Llano Grande y Goicoechea.",9.815,-84.1595
2026-08-05,10:55:57,2.7,8,4 km al sureste de Orosi,Tectónico en falla local,Orosi y Paraiso,9.7617,-83.8445
2026-08-04,02:40:41,1.9,17,8 km al noreste de Nuevo Arenal,Tectónico en falla local,Nuevo Arenal,10.5806,-84.8343
2026-08-04,07:03:51,1.9,5,6 km al suroeste de Orosi,Tectónico en falla local,Orosi y Muñeco.,9.7488,-83.8892
2026-08-04,14:16:46,2.5,7,5 km al sureste de Orosi,Tectónico en falla local,Orosi y Paraiso,9.7568,-83.8411
2026-08-04,22:19:24,3.5,24,"16 km al este de Tambor, Puntarenas",Tectónico por subducción,"Tambor, Jacó, Paquera, Playa Hermosa, Herradura y Playa Naranjo.",9.6685,-84.8833
2026-08-03,22:21:07,3,8,14 km al noroeste de Nuevo Arenal,Tectónico en falla local,"Guatuso, Nuevo Arenal, Bijagua, Tilarán,",10.6495,-84.9592
2026-08-02,10:09:32,4.8,132,"23 km al oeste de Riva, Nicaragua","Tectónico, por deformación interna de la porción subducida de la placa del Coco bajo Nicaragua.","Sardinal, Playa del Coco, Carrillo, Nosara, Santa Cruz",11.3956,-86.0343
2026-08-01,00:13:01,3.1,6,5 km al sureste de Orosi,Tectónico en falla local,"Orosi, Paraiso, Cartago, Cachí, El Guarco, Oreamuno",9.7616,-83.8285
2026-08-01,01:59:03,2.5,4,6 km al sureste de Orosi,Tectónico en falla local,Tucurrique y Desamparados,9.7466,-83.8323
2026-08-01,22:18:31,2.7,8.5,4 km al sureste de Orosi,Tectónico en falla local,"Orosi, Paraiso, Palomo, Pejibaye, Purisil, Navarro y Cachí.",9.7595,-83.8385
2026-07-31,20:16:52,5,8,"4 km al sureste de Orosi, Cartago",Fallamiento Local,Valle Central,9.7681,-83.8341
2026-07-31,21:09:50,2.2,9,4 km al sureste de Orosi,Tectónico en falla local,"Orosi, Cartago, Turrialba y Moravia",9.7641,-83.8308
2026-07-28,07:12:50,3.5,75,"6 km al sureste de Cañas, Guanacaste",Deformación interna de la placa Coco,"Abangares, Monte Verde, Esparza, Miramar, Tilarán y San Ramón",10.3796,-85.0691
2026-07-24,18:45:25,3.8,18,38 km al oeste de Playa Flamingo,Deformación interna de la placa Caribe,"Tamarindo, Brasilito, Villareal, Playa Potrero",10.5426,-86.1276
2026-07-23,07:57:56,2.6,9,5 km al NE de Varablanca de Heredia,Fallamiento local,"Paso Llano, Sacramento, Poás, Carrizal y Moravia",10.1957,-84.1209
2026-07-23,09:49:17,3,18,14 km al NNE de Paquera de Puntarenas,Tectónico por subducción,"Paquera, Caldera y Puntarenas",9.9268,-84.864
2026-07-19,07:58:57,2.1,10,5 km al suroreste de San Isidro de El Guarco.,Tectónico en falla local,San Francisco de Dos Ríos y El Guarco.,9.797,-83.9984
2026-07-17,20:04:13,2.7,12,6 km al norte de Santa María de Dota,Tectónico en falla local,"Tarrazú, El Guarco, Orosi, Aserrí, Desamparados, Frailes, Zapote, Tres Ríos, Cartago, Coronado Quebradilla",9.708,-83.9657
2026-07-16,04:33:56,4.7,21,7 km al sur de Laurel,Tectónico en la porción subducida de la Zona de Fracturas de Panamá.,"Laurel, Naranjo, Ciudad Neily, San Vito, Puerto Armuelles y Boquete en Panamá y sur del Valle Central.",8.3778,-82.8965
2026-07-16,16:33:13,3.5,19,18 km al sureste de Paquera,Tectónico por subducción,"Paquera, Jacó y Tambor",9.6733,-84.8431
2026-07-13,14:57:08,4.2,25,16 km al sur de Jacó,Tectónico por subducción,"Jacó, Herradura, Playa Hermosa y Cabuya",9.4731,-84.6622
2026-07-12,09:37:33,2.3,6,8 km al sur de Turrúcares,Tectónicop en falla local,"San Antonio Abajo de Puriscal, Jaris y Turrúcares",9.8859,-84.3203
2026-07-12,19:57:14,2.2,11,6 km al suroeste de Orosi,Tectónico en falla local,Orosi,9.7492,-83.8854
2026-07-07,06:51:02,3,12,"12 km al noroeste de Paquera, Puntarenas.",Tectónico en falla local,"Paquera, Dominical y Lepanto.",9.8635,-85.0347
2026-07-07,12:11:14,5.2,22,28 km al suroeste de Jacó,Subducción,"Montezuma, Cóbano, Jacó, Esparza, Puriscal, Nuevo Arenal, Valle Central",9.5102,-84.8669
2026-07-03,21:25:29,3.1,25,Playa Tamarindo,Subducción,"Playa Grande, Tamarindo, Santa Cruz, Villareal, Huacas, Brasilito, Matapalo",10.3314,-85.8617
2026-07-03,21:26:36,2.2,25,Playa Tamarindo,Subducción,"Playa Grande, Tamarindo, Santa Cruz, Villareal, Huacas, Brasilito, Matapalo",10.3343,-85.8784
2026-07-03,21:28:50,2.5,27,Playa Tamarindo,Subduccion,"Playa Grande, Tamarindo, Santa Cruz, Villareal, Huacas, Brasilito, Matapalo",10.335,-85.8701
2026-07-03,21:29:47,2.6,25,Playa Tamarindo,Subducción,"Playa Grande, Tamarindo, Santa Cruz, Villareal, Huacas, Brasilito, Matapalo",10.3415,-85.8615
2026-07-03,22:58:47,3.7,26,11 km al sureste de San Vito,Subducción Placa del Coco por debajo de micro placa de Panama,"San Vito, Sabalito, Mellizas, Golfito",8.7697,-82.8747
2026-07-02,11:14:24,2.6,12,"3 km al Norte de Fortuna de Bagaces, Guanacaste",Fallamiento local,Fortuna y Guayabo de Bagaces,10.7036,-85.1882
